"symbol","mean_return","Beta","debt_to_equity","asset_turnover","roe","pbv","dvd_yield","km.cluster"
"ADVANC.BK",0.00134935048311836,0.5921,3.36,0.52,34.24,9.15,3.01,3
"AOT.BK",7.30647572091947e-05,1.3492,0.73,0.04,-12.82,7.76,0,6
"BANPU.BK",0.000387776830565372,0.7524,3.31,0.42,13.91,1.04,2.12,4
"BBL.BK",0.000264933470316619,1.2572,7.79,0.04,5.63,0.48,2.06,7
"BDMS.BK",0.000643096196961748,0.6008,0.49,0.57,9.24,4.53,2.39,4
"BEM.BK",0.000188494178417924,0.9207,2.05,0.1,2.67,3.41,1.18,1
"BH.BK",0.000884225739638447,0.7972,0.19,0.56,6.79,6.75,2.27,4
"BLA.BK",0.00249927592256544,0.6026,6.24,0.14,6.8,1.34,0.62,7
"BTS.BK",0.000236412472853984,1.0127,2.26,0.22,7.95,2.06,3.31,1
"CBG.BK",0.000398941947066622,0.6249,0.89,0.97,28.57,12.44,2.01,3
"CPALL.BK",0.000211712742299144,0.9132,6.14,0.81,12.93,5.52,1.53,4
"CPF.BK",-0.000230176354768636,0.676,2.58,0.65,6.4,1.02,3.94,4
"CPN.BK",0.000885843852584933,1.4062,2.48,0.13,10.08,3.54,1.24,1
"DTAC.BK",0.00193048677797426,0.7261,7.15,0.4,15.09,5.42,6.54,5
"EA.BK",0.00276052156057616,1.5833,1.55,0.15,20.23,11.65,0.31,2
"EGCO.BK",-0.000155556295549321,0.7498,1.13,0.17,3.81,0.82,3.7,4
"GLOBAL.BK",0.00107755152667523,0.6433,0.99,0.91,18.3,4.89,0.89,3
"GPSC.BK",0.000703871750913927,1.2316,1.41,0.3,6.93,2.37,1.69,1
"HMPRO.BK",0.000379168540885087,0.9888,1.56,1.11,24.48,9.06,2.07,3
"INTUCH.BK",0.00179931555322418,0.642,0.18,0.07,27.3,6.77,3.12,3
"IRPC.BK",0.000373416297150548,0.9597,1.17,1.41,17.79,0.92,1.56,4
"IVL.BK",0.00065419815968934,1.4243,2.34,0.95,18.42,1.56,1.62,4
"JMART.BK",0.00468769617172509,1.5056,1.07,0.35,23.5,15.12,0.82,2
"JMT.BK",0.00302126762254208,1.1019,0.47,0.17,11.31,11.06,0.91,2
"KBANK.BK",0.00125320453748133,1.5906,7.48,0.07,8.3,0.72,1.76,7
"KCE.BK",0.00335953578619023,0.489,0.64,0.78,19.11,8.2,0.91,3
"KTB.BK",0.000901445712002109,1.3486,8.84,0.04,6.14,0.52,2.08,7
"KTC.BK",0.000232850522535117,1.7452,2.32,0.24,23.69,5.98,1.49,1
"LH.BK",0.000678637300938562,0.7527,1.49,0.27,13.89,2.19,5.68,5
"MINT.BK",0.000415022567389577,1.3638,4.27,0.21,-19.51,2.78,0,6
"MTC.BK",0.000215113075889528,1.1625,2.96,0.18,21.71,5.24,0.63,1
"PTT.BK",-0.00016477904475923,0.9774,1.59,0.81,11.47,1.11,2.63,4
"PTTEP.BK",0.00103003877912263,0.8924,0.89,0.32,10.1,1.14,3.6,4
"PTTGC.BK",0.000255279926355501,1.1407,1.34,0.79,15.01,0.85,1.69,4
"SAWAD.BK",1.68491092957045e-05,1.3138,0.93,0.2,20.19,3.6,2.91,1
"SCC.BK",0.000336392351594137,0.6335,1.12,0.67,13.74,1.29,3.63,4
"TISCO.BK",0.000662405961967211,0.5248,4.91,0.08,16.82,1.95,6.56,5
"TOP.BK",-0.000158358644455585,1.2654,1.98,1.04,10.61,0.87,1.41,4
"TRUE.BK",0.00165175336449771,0.9972,6.68,0.24,-1.72,1.96,1.46,7
"TTB.BK",0.00166576020003088,1.3824,7.34,0.05,5.04,0.68,3.05,7
"TU.BK",0.00181277794767157,0.4467,1.76,0.91,14.37,1.59,3.69,4
